E_gamma [MeV]	GT strength
5.692844999999998	0.869341
8.2573	0.001509
8.652811	0.00112
10.642398999999997	0.008891
11.11898	0.001198
12.004719999999999	4.1e-05
12.201754999999999	2.3e-05
12.732631999999995	0.00014
12.962623999999998	0.010523
13.805731999999999	0.022374
13.894599	0.00031
14.138689	0.017087
14.272355999999995	0.001675
14.328503999999995	0.005249
14.489045999999995	0.017556
14.665569999999995	0.002056
15.046734	0.000443
15.262158999999997	0.004709
15.531669999999998	0.007982
16.087514999999996	0.034754
16.578869999999995	0.009218
16.947174999999994	0.004528
17.237717999999994	0.006379
17.534067999999998	0.004215
17.840514999999996	0.00059
18.312087999999996	0.008003
18.668090999999997	0.000925
18.932505999999997	0.002943
19.267568999999995	0.007416
19.651472	0.002119
20.144199999999998	0.004844
20.365941999999997	0.005871
20.843967	0.009927
21.271220999999997	0.001197
21.632698999999995	0.008816
22.064949999999996	0.005895
22.658935999999997	0.003371
23.004376999999998	0.004645
23.413106	0.006825
23.952360999999996	0.004683
24.280091	0.007022
24.737382999999994	0.005133
25.228573999999995	0.006777
25.708296999999995	0.008221
26.175954999999995	0.009814
26.668554999999998	0.007303
27.067403	0.006246
27.639387	0.006075
28.108784999999997	0.008768
28.591828	0.010677
29.051446999999996	0.006095
29.605335999999994	0.006511
30.109361999999997	0.005855
30.58701	0.007541
31.128277999999995	0.004573
31.629901999999994	0.004914
32.242108	0.004842
32.74005	0.004711
33.300974	0.006878
33.847223	0.007402
34.39377399999999	0.006562
34.93955699999999	0.007645
35.436515	0.008765
35.997665999999995	0.008033
36.533231	0.006303
37.062015	0.00491
37.662439	0.003344
38.276529	0.003195
38.799141999999996	0.002387
39.393755999999996	0.00212
40.00945899999999	0.001649
40.62177	0.001723
41.193298	0.001255
41.795505	0.001069
42.39415699999999	0.000933
43.031634999999994	0.000673
43.650583999999995	0.000735
44.236429	0.000726
44.845331	0.000474
45.480586	0.000375
46.128131999999994	0.000318
46.739031999999995	0.000265
47.399981	0.000193
48.035081	0.000182
48.69430199999999	0.000145
49.342196	0.00013
49.992965999999996	0.000121
50.635418	0.000109
51.285723	8.5e-05
51.935759999999995	7e-05
52.611135	5.9e-05
53.265225	4.7e-05
53.940338999999994	3.7e-05
54.622266999999994	3.2e-05
55.290693	2.9e-05
55.962408999999994	2.5e-05
56.641859999999994	2.1e-05
57.323913	1.9e-05
58.011331	1.5e-05
58.698919	1.3e-05
59.393249	1.2e-05
60.071057999999994	1e-05
60.761238999999996	9e-06
61.456537999999995	8e-06
62.138295	7e-06
62.829266	5e-06
63.525143	5e-06
64.222398	4e-06
64.921087	4e-06
65.619491	3e-06
66.32121099999999	3e-06
67.03395	2e-06
67.715709	2e-06
68.43034899999999	2e-06
69.124895	1e-06
69.847719	1e-06
70.54146899999999	1e-06
71.24315899999999	1e-06
71.95343	1e-06
72.64623399999999	1e-06
73.36651599999999	1e-06
