g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	C12	16.428129000000002	0	0.25	0.1	1.6428129000000002	1.0337478085280352e-28
1	1	C12	16.428129000000002	0	0.25	0.1	2.0681789066332703	1.0276670925207377e-27
1	1	C12	16.428129000000002	0	0.25	0.1	2.6036829816973004	1.6832818708550085e-26
1	1	C12	16.428129000000002	0	0.25	0.1	3.2778426699147394	4.889541415082563e-25
1	1	C12	16.428129000000002	0	0.25	0.1	4.1265594330189055	2.674455740928009e-23
1	1	C12	16.428129000000002	0	0.25	0.1	5.195030533506431	2.8210339442117093e-21
1	1	C12	16.428129000000002	0	0.25	0.1	6.540155953677857	5.448091640081132e-19
1	1	C12	16.428129000000002	0	0.25	0.1	8.23356852718197	1.584845649534166e-16
1	1	C12	16.428129000000002	0	0.25	0.1	10.365448648618056	4.4216189206768166e-14
1	1	C12	16.428129000000002	0	0.25	0.1	13.049326708392776	4.837213842751155e-12
1	1	C12	16.428129000000002	0	0.25	0.1	16.428129000000002	4.014014612033115e-11
1	1	C12	16.428129000000002	0	0.25	0.1	20.68178906633271	1.4081017433302356e-12
1	1	C12	16.428129000000002	0	0.25	0.1	26.036829816973015	1.5046003401305167e-18
1	1	C12	16.428129000000002	0	0.25	0.1	32.778426699147396	1.2571052241202985e-32
1	1	C12	16.428129000000002	0	0.25	0.1	41.26559433018907	9.507985636768633e-61
1	1	C12	16.428129000000002	0	0.25	0.1	51.95030533506431	1.2464133896659825e-112
1	1	C12	16.428129000000002	0	0.25	0.1	65.40155953677856	4.5791944953466106e-204
1	1	C12	16.428129000000002	0	0.25	0.1	82.33568527181971	0.0
1	1	C12	16.428129000000002	0	0.25	0.1	103.6544864861805	0.0
1	1	C12	16.428129000000002	0	0.25	0.1	130.4932670839279	0.0
1	1	C12	16.428129000000002	0	0.25	0.1	164.28129000000004	0.0
