Photon energy [MeV]	C12 flux [cm^-2 s^-1 sr^-1 MeV^-1]
18.52992856142054	1271543.8323790776
18.587237618826997	3003388.025495251
18.64454667623345	6483619.384173228
18.701855733639906	12792326.545921167
18.75916479104636	23067871.305734906
18.816473848452816	38018192.08249805
18.873782905859272	57266594.724500865
18.931091963265725	78838293.59357047
18.988401020672182	99197112.37400502
19.045710078078635	114074034.65635407
19.10301913548509	119894851.02330023
19.160328192891548	115170226.35018133
19.217637250298	101112736.97011486
19.274946307704457	81132987.87653099
19.33225536511091	59499735.01940044
19.389564422517367	39880312.34838533
19.446873479923823	24430256.596128907
19.504182537330276	13678027.222102776
19.561491594736733	6999142.841316941
19.618800652143186	3273348.2176539814
19.676109709549642	1399153.9946534277
