g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	O16	16.731	0	0.25	0.1	1.6731000000000003	3.615269691035138e-32
1	1	O16	16.731	0	0.25	0.1	2.1063081064728215	3.5939081208729733e-31
1	1	O16	16.731	0	0.25	0.1	2.6516848003066893	5.886510069011285e-30
1	1	O16	16.731	0	0.25	0.1	3.3382733791744337	1.709834026988558e-28
1	1	O16	16.731	0	0.25	0.1	4.202637188558679	9.352007554330428e-27
1	1	O16	16.731	0	0.25	0.1	5.2908067532277165	9.86419144035326e-25
1	1	O16	16.731	0	0.25	0.1	6.660731070530566	1.9049521495633597e-22
1	1	O16	16.731	0	0.25	0.1	8.385363605817894	5.541414530109214e-20
1	1	O16	16.731	0	0.25	0.1	10.556547330498116	1.546054777017548e-17
1	1	O16	16.731	0	0.25	0.1	13.289905695171955	1.6915271742447393e-15
1	1	O16	16.731	0	0.25	0.1	16.731000000000005	1.4039673125358202e-14
1	1	O16	16.731	0	0.25	0.1	21.06308106472822	4.927201841394427e-16
1	1	O16	16.731	0	0.25	0.1	26.516848003066908	5.269077834697499e-22
1	1	O16	16.731	0	0.25	0.1	33.382733791744336	4.408558909685646e-36
1	1	O16	16.731	0	0.25	0.1	42.026371885586805	3.3424125960363775e-64
1	1	O16	16.731	0	0.25	0.1	52.908067532277165	4.399360538642646e-116
1	1	O16	16.731	0	0.25	0.1	66.60731070530565	1.6271287839996938e-207
1	1	O16	16.731	0	0.25	0.1	83.85363605817898	0.0
1	1	O16	16.731	0	0.25	0.1	105.56547330498111	0.0
1	1	O16	16.731	0	0.25	0.1	132.89905695171956	0.0
1	1	O16	16.731	0	0.25	0.1	167.31000000000003	0.0
