g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	O16	16.73	0	0.25	0.1	1.673	4.6535638681209705e-18
1	1	O16	16.73	0	0.25	0.1	2.1061822139316417	4.625513179812442e-17
1	1	O16	16.73	0	0.25	0.1	2.651526310987443	7.575133574931257e-16
1	1	O16	16.73	0	0.25	0.1	3.3380738529429363	2.199976165380862e-14
1	1	O16	16.73	0	0.25	0.1	4.202385999915528	1.2030819405782721e-12
1	1	O16	16.73	0	0.25	0.1	5.290490525461699	1.2687580636733238e-10
1	1	O16	16.73	0	0.25	0.1	6.660332963360011	2.4498566233656335e-08
1	1	O16	16.73	0	0.25	0.1	8.384862418584268	7.12607300758827e-06
1	1	O16	16.73	0	0.25	0.1	10.555916373153632	0.0019883781187946983
1	1	O16	16.73	0	0.25	0.1	13.289111366937231	0.2176373111984753
1	1	O16	16.73	0	0.25	0.1	16.729999999999997	1.8081535471483272
1	1	O16	16.73	0	0.25	0.1	21.06182213931642	0.06358059294484929
1	1	O16	16.73	0	0.25	0.1	26.515263109874436	6.823678843209782e-08
1	1	O16	16.73	0	0.25	0.1	33.38073852942935	5.745507971587736e-22
1	1	O16	16.73	0	0.25	0.1	42.023859999155285	4.403459852926713e-50
1	1	O16	16.73	0	0.25	0.1	52.90490525461698	5.902189081799972e-102
1	1	O16	16.73	0	0.25	0.1	66.6033296336001	2.2495720637456484e-193
1	1	O16	16.73	0	0.25	0.1	83.84862418584268	0.0
1	1	O16	16.73	0	0.25	0.1	105.55916373153637	0.0
1	1	O16	16.73	0	0.25	0.1	132.89111366937237	0.0
1	1	O16	16.73	0	0.25	0.1	167.29999999999998	0.0
