# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
9.845321000000006	9.842331330031069	8.041841205758254e-08	9.708418510009209e-08
16.429129000000003	16.426139330031063	2.865036857985818e-07	3.4667950151997523e-07
17.886873	17.883883330031065	8.383059580893569e-07	1.0147469849120372e-06
19.106065	19.103075330031064	4.982964470334736e-06	6.03341546971148e-06
20.271515	20.268525330031064	2.560825526479116e-06	3.1014308858619125e-06
20.634644	20.631654330031065	4.812892423086415e-07	5.829348577915421e-07
21.124506000000004	21.121516330031067	5.161026637646428e-07	6.251608456205367e-07
21.319014000000003	21.316024330031066	2.1500478757306014e-06	2.604474310192157e-06
22.049041000000003	22.046051330031062	2.1798523842782047e-06	2.6409403302824236e-06
22.255069000000006	22.25207933003107	2.7021682184476275e-06	3.273861256953133e-06
22.375785	22.372795330031067	8.575305377349987e-07	1.0389795517642647e-06
22.691069000000006	22.68807933003107	5.446393165437618e-07	6.599195055878921e-07
23.234614	23.231624330031067	1.0210443226877445e-06	1.2372799998605998e-06
23.49949	23.496500330031065	6.176231462659721e-07	7.484567884427332e-07
23.722903000000002	23.71991333003107	9.311324502783715e-06	1.1284208487138372e-05
23.975631	23.972641330031067	6.585489970127642e-07	7.9811623235145e-07
24.127765000000004	24.124775330031063	1.1177800197513463e-06	1.3547069721812274e-06
24.395655000000005	24.39266533003107	4.850600370091824e-07	5.879002465715072e-07
24.689789000000005	24.686799330031064	4.5333644712460123e-07	5.494769704435725e-07
24.873077000000002	24.870087330031065	6.530261373849147e-07	7.915387515210413e-07
25.193355000000004	25.190365330031064	6.816586556787254e-07	8.262863918721821e-07
25.557194000000003	25.554204330031062	1.908311292535089e-06	2.3133294837696724e-06
26.003710000000005	26.00072033003107	2.377351407185237e-07	2.8821150563044987e-07
26.416083000000004	26.413093330031067	6.764499441473652e-07	8.201257698973272e-07
26.527788000000005	26.524798330031068	4.0228480589025597e-07	4.877368999617328e-07
27.125878000000004	27.122888330031067	3.1673793185760013e-07	3.84051936632511e-07
27.402361000000003	27.399371330031066	9.84276843620135e-07	1.1935052597952771e-06
27.668740000000003	27.66575033003107	2.924773728822859e-07	3.546628566997134e-07
27.976836000000002	27.97384633003106	5.158087096896651e-07	6.255050250614662e-07
28.509042000000004	28.506052330031068	5.859562331862897e-07	7.106226410477737e-07
28.857441000000005	28.85445133003107	5.076110948464999e-07	6.156379194812824e-07
29.168116000000005	29.165126330031068	3.569274760503649e-07	4.3290457785861046e-07
29.456089000000002	29.453099330031066	9.189234446439405e-07	1.1145715645539992e-06
