# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
9.845321000000006	9.842331330031069	3.218624144918483e-07	3.9200602470293904e-07
16.429129000000003	16.426139330031063	1.2645554609059224e-06	1.548595102294473e-06
17.886873	17.883883330031065	3.5322184796999377e-06	4.325611969583907e-06
19.106065	19.103075330031064	2.0253626849803944e-05	2.4802919534139456e-05
20.271515	20.268525330031064	1.007781736935679e-05	1.2341458403749007e-05
20.634644	20.631654330031065	1.8758035135209753e-06	2.2971393692960816e-06
21.124506000000004	21.121516330031067	1.9859163834690514e-06	2.431985373582061e-06
21.319014000000003	21.316024330031066	8.231949115205053e-06	1.0080978238005694e-05
22.049041000000003	22.046051330031062	8.194269728135096e-06	1.0034835450221447e-05
22.255069000000006	22.25207933003107	1.0106341032174103e-05	1.2376388943297462e-05
22.375785	22.372795330031067	3.197795729800402e-06	3.916072452654171e-06
22.691069000000006	22.68807933003107	2.015572468526633e-06	2.4683026957503576e-06
23.234614	23.231624330031067	3.7301997440711438e-06	4.568063033083862e-06
23.49949	23.496500330031065	2.242481311101494e-06	2.7461789401240153e-06
23.722903000000002	23.71991333003107	3.3633955672920474e-05	4.1188686962421e-05
23.975631	23.972641330031067	2.3650890347491276e-06	2.89632634465792e-06
24.127765000000004	24.124775330031063	4.000546899422132e-06	4.899134538951907e-06
24.395655000000005	24.39266533003107	1.7256254257213507e-06	2.1132288502020125e-06
24.689789000000005	24.686799330031064	1.6022743115719207e-06	1.9621710776172283e-06
24.873077000000002	24.870087330031065	2.298780258644156e-06	2.8151235432863326e-06
25.193355000000004	25.190365330031064	2.382911917848172e-06	2.918152536018617e-06
25.557194000000003	25.554204330031062	6.619108641952481e-06	8.105867667630288e-06
26.003710000000005	26.00072033003107	8.168611968328001e-07	1.0003414541924825e-06
26.416083000000004	26.413093330031067	2.30446828497058e-06	2.822089192467518e-06
26.527788000000005	26.524798330031068	1.3673230323911928e-06	1.674445935094464e-06
27.125878000000004	27.122888330031067	1.0635731398702653e-06	1.3024688961883186e-06
27.402361000000003	27.399371330031066	3.2869110128557353e-06	4.025204471885823e-06
27.668740000000003	27.66575033003107	9.71582237027841e-07	1.1898153463824684e-06
27.976836000000002	27.97384633003106	1.7033092892391576e-06	2.085900147960909e-06
28.509042000000004	28.506052330031068	1.919851772743869e-06	2.3510815810898632e-06
28.857441000000005	28.85445133003107	1.6700614913063679e-06	2.045184356022524e-06
29.168116000000005	29.165126330031068	1.2029815183104323e-06	1.4731906547394194e-06
29.456089000000002	29.453099330031066	3.27502853458114e-06	4.010652996503339e-06
