# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
9.845321000000006	9.842331330031069	5.6867025792305295e-08	6.865206648099956e-08
16.429129000000003	16.426139330031063	2.0259801450007814e-07	2.451507510792373e-07
17.886873	17.883883330031065	5.927990737977005e-07	7.175676065289459e-07
19.106065	19.103075330031064	3.5236498719989087e-06	4.2664659179012385e-06
20.271515	20.268525330031064	1.8108602783525586e-06	2.1931440067772217e-06
20.634644	20.631654330031065	3.403385193938895e-07	4.1221620961242164e-07
21.124506000000004	21.121516330031067	3.6495645477695485e-07	4.420758670711837e-07
21.319014000000003	21.316024330031066	1.520383256951701e-06	1.8417264043988868e-06
22.049041000000003	22.046051330031062	1.5414591843981982e-06	1.8675129487815286e-06
22.255069000000006	22.25207933003107	1.910809209050854e-06	2.3150762650906807e-06
22.375785	22.372795330031067	6.063935011753621e-07	7.347033695949744e-07
22.691069000000006	22.68807933003107	3.851358366476267e-07	4.6665507705385944e-07
23.234614	23.231624330031067	7.220205109144516e-07	8.749294201935129e-07
23.49949	23.496500330031065	4.36745564021419e-07	5.292632728678623e-07
23.722903000000002	23.71991333003107	6.584402946389209e-06	7.979508228644857e-06
23.975631	23.972641330031067	4.656858372587633e-07	5.643794187848157e-07
24.127765000000004	24.124775330031063	7.904261126682799e-07	9.579666487710006e-07
24.395655000000005	24.39266533003107	3.430049847407859e-07	4.1572741494005333e-07
24.689789000000005	24.686799330031064	3.205719888114186e-07	3.885568022406541e-07
24.873077000000002	24.870087330031065	4.6178040311351277e-07	5.597282181917139e-07
25.193355000000004	25.190365330031064	4.820275789661283e-07	5.842996411183322e-07
25.557194000000003	25.554204330031062	1.3494417799554381e-06	1.6358463553293209e-06
26.003710000000005	26.00072033003107	1.6811184401950334e-07	2.0380570188769002e-07
26.416083000000004	26.413093330031067	4.783442902102181e-07	5.799432163215365e-07
26.527788000000005	26.524798330031068	2.84471366198128e-07	3.4489796149170664e-07
27.125878000000004	27.122888330031067	2.2397781494328682e-07	2.7157824100569876e-07
27.402361000000003	27.399371330031066	6.960207607691235e-07	8.439745446067175e-07
27.668740000000003	27.66575033003107	2.0682222132543202e-07	2.5079606465566063e-07
27.976836000000002	27.97384633003106	3.647485678479635e-07	4.4231922047505317e-07
28.509042000000004	28.506052330031068	4.143526312726912e-07	5.025092344323134e-07
28.857441000000005	28.85445133003107	3.5895171073410946e-07	4.3534179869050167e-07
29.168116000000005	29.165126330031068	2.5239741442130974e-07	3.0612386138125225e-07
29.456089000000002	29.453099330031066	6.498067999854074e-07	7.881574088426289e-07
