# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
9.845321000000006	9.842331330031069	9.848447190975282e-08	1.1889417691329232e-07
16.429129000000003	16.426139330031063	3.508670327544526e-07	4.245612552058701e-07
17.886873	17.883883330031065	1.0266322825936452e-06	1.2427105359288137e-06
19.106065	19.103075330031064	6.102392875628877e-06	7.3888262684179365e-06
20.271515	20.268525330031064	3.1361178393896245e-06	3.7981694900223146e-06
20.634644	20.631654330031065	5.894114114003518e-07	7.138915839414941e-07
21.124506000000004	21.121516330031067	6.320457121778571e-07	7.656036769687031e-07
21.319014000000003	21.316024330031066	2.63305857630785e-06	3.1895713396542997e-06
22.049041000000003	22.046051330031062	2.669558732136434e-06	3.234229521395388e-06
22.255069000000006	22.25207933003107	3.3092134302266125e-06	4.009336615590858e-06
22.375785	22.372795330031067	1.0501757655638808e-06	1.2723870811385436e-06
22.691069000000006	22.68807933003107	6.669931725329751e-07	8.081709180746309e-07
23.234614	23.231624330031067	1.2504231274176057e-06	1.515235895268228e-06
23.49949	23.496500330031065	7.563729133922342e-07	9.165981808072283e-07
23.722903000000002	23.71991333003107	1.1403124553520357e-05	1.3819214642368255e-05
23.975631	23.972641330031067	8.064928101115191e-07	9.774136647084958e-07
24.127765000000004	24.124775330031063	1.3688906295606195e-06	1.6590429512990282e-06
24.395655000000005	24.39266533003107	5.940293529536052e-07	7.1997249916372e-07
24.689789000000005	24.686799330031064	5.55179022969096e-07	6.729174070244818e-07
24.873077000000002	24.870087330031065	7.997292432929907e-07	9.693585617479328e-07
25.193355000000004	25.190365330031064	8.347940947394391e-07	1.011912292230376e-06
25.557194000000003	25.554204330031062	2.337015736844944e-06	2.833020822775423e-06
26.003710000000005	26.00072033003107	2.911426298231347e-07	3.5295845579474885e-07
26.416083000000004	26.413093330031067	8.284152528110969e-07	1.0043677001710185e-06
26.527788000000005	26.524798330031068	4.92658581049507e-07	5.973073975804211e-07
27.125878000000004	27.122888330031067	3.878934996465046e-07	4.7032952562162364e-07
27.402361000000003	27.399371330031066	1.2053958568093363e-06	1.4616272210133588e-06
27.668740000000003	27.66575033003107	3.581827784309639e-07	4.343381676061641e-07
27.976836000000002	27.97384633003106	6.316857800645001e-07	7.660252615657228e-07
28.509042000000004	28.506052330031068	7.175920366433055e-07	8.702646287529421e-07
28.857441000000005	28.85445133003107	6.216465670532381e-07	7.539415112677389e-07
29.168116000000005	29.165126330031068	4.371116848956951e-07	5.301569683593683e-07
29.456089000000002	29.453099330031066	1.125360762062513e-06	1.3649610424947509e-06
