# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
11.083686999999998	11.079672970762886	3.797864427304239e-07	4.58748012170149e-07
12.67221699999999	12.668202903422277	5.453705373801711e-07	6.591630245673959e-07
14.298884999999999	14.294870834362328	8.577067686978381e-07	1.0372279876011816e-06
15.954131999999994	15.950117763939517	1.4065437646888598e-05	1.7017522076600206e-05
16.732240999999995	16.728226730770025	2.0588181312981534e-06	2.4914373600413e-06
17.228590999999994	17.224576709586795	2.9638728302278515e-07	3.587118575049813e-07
17.361999999999995	17.357985703889693	8.399513684068605e-07	1.0166104145721168e-06
17.69947299999999	17.695458689471405	6.087882954851463e-07	7.368891574047994e-07
18.216430999999993	18.21241666736509	5.557049383587165e-07	6.727177900922914e-07
18.289008999999993	18.284994664259518	4.207999592031349e-07	5.094148642946117e-07
18.558546999999997	18.554532652721743	5.438010880953756e-07	6.58358866080573e-07
19.272980999999994	19.26896662210521	2.2749361810166542e-06	2.754611818138904e-06
19.409211999999997	19.40519761626121	6.093806129890402e-07	7.378915785620994e-07
19.743546999999992	19.739532601910618	1.4356511282800698e-06	1.738535798559641e-06
19.906587999999992	19.90257359490805	5.650616218136109e-07	6.842980912255669e-07
20.24729899999999	20.243284580265048	9.512284672376877e-07	1.1520327212417622e-06
20.717435999999992	20.713421560037787	6.548503792038181e-07	7.931641952226772e-07
20.976286999999992	20.97227254888978	3.1789992546435437e-07	3.8506457911476923e-07
21.28797099999999	21.283956535455587	2.9500164288904875e-07	3.5735000785251344e-07
21.546324999999996	21.54231052431086	2.896453527247618e-07	3.5087894880171957e-07
21.916796999999995	21.912782508314773	5.238440571226313e-07	6.346333812919785e-07
22.239869999999996	22.235855494350595	3.700166639771534e-07	4.4829920580495377e-07
22.63741199999999	22.633397477148357	2.5226293186967557e-07	3.0565482947332056e-07
23.151956999999996	23.147942454850646	3.161611639265802e-07	3.831119469973904e-07
23.676200999999992	23.672186432093465	3.9504204382423174e-07	4.787397967171077e-07
24.077031999999996	24.07301741466602	3.501568315439912e-07	4.2437322732548923e-07
24.477604999999997	24.473590397225173	3.15897807686949e-07	3.828781289203752e-07
24.863988999999997	24.859974380378176	2.8935772725527636e-07	3.5073254930744257e-07
25.267702999999997	25.263688362749797	3.5397020982651305e-07	4.2907718851076456e-07
25.661045999999992	25.657031345548287	6.28062128584114e-07	7.613736324426678e-07
26.093220999999993	26.089206326618278	5.226414658960955e-07	6.336182374936585e-07
26.680792999999994	26.676778300829206	4.846657261185483e-07	5.876301683237656e-07
27.08572999999999	27.081715283019978	4.821740847869028e-07	5.846436468326146e-07
27.625601999999994	27.621587259229024	3.77027447467858e-07	4.5718688652030705e-07
27.958043999999994	27.954029244551506	3.5266149568410876e-07	4.2766040560642354e-07
28.465062999999994	28.461048222124866	4.015557923754193e-07	4.869867684200447e-07
28.984674999999996	28.980660199087964	3.8541578996875173e-07	4.67445662631062e-07
29.544822999999994	29.540808174191824	4.743062808954855e-07	5.752975533223261e-07
