# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
11.083686999999998	11.079672970762886	2.0790951308210367e-06	2.5460935770165273e-06
12.67221699999999	12.668202903422277	2.7743742651873508e-06	3.3975436679724965e-06
14.298884999999999	14.294870834362328	4.084259239410472e-06	5.001650026580011e-06
15.954131999999994	15.950117763939517	6.308445171864863e-05	7.725424149641097e-05
16.732240999999995	16.728226730770025	8.996810439528785e-06	1.1017639805963855e-05
17.228590999999994	17.224576709586795	1.274665686167946e-06	1.5609762479285657e-06
17.361999999999995	17.357985703889693	3.597174478412618e-06	4.405158137846895e-06
17.69947299999999	17.695458689471405	2.5799338714521066e-06	3.159428812012842e-06
18.216430999999993	18.21241666736509	2.3182533058131154e-06	2.8389705522984925e-06
18.289008999999993	18.284994664259518	1.7516595308855287e-06	2.1451106371194346e-06
18.558546999999997	18.554532652721743	2.245670759227755e-06	2.7500847899661503e-06
19.272980999999994	19.26896662210521	9.202863551227763e-06	1.1269975784459393e-05
19.409211999999997	19.40519761626121	2.4556890134099935e-06	3.007276546179084e-06
19.743546999999992	19.739532601910618	5.731747793877353e-06	7.019191198483913e-06
19.906587999999992	19.90257359490805	2.245875102904743e-06	2.750335032543207e-06
20.24729899999999	20.243284580265048	3.745885217005945e-06	4.587271717332953e-06
20.717435999999992	20.713421560037787	2.5466831905430374e-06	3.118709489535003e-06
20.976286999999992	20.97227254888978	1.2279556023602503e-06	1.5037743226286335e-06
21.28797099999999	21.283956535455587	1.130378832745206e-06	1.3842802298860964e-06
21.546324999999996	21.54231052431086	1.1025795282654054e-06	1.3502367512918312e-06
21.916796999999995	21.912782508314773	1.975646736252207e-06	2.419408997239576e-06
22.239869999999996	22.235855494350595	1.3844094763838727e-06	1.6953702711957346e-06
22.63741199999999	22.633397477148357	9.3476659987272e-07	1.144730320736043e-06
23.151956999999996	23.147942454850646	1.1572823692915881e-06	1.4172267365583154e-06
23.676200999999992	23.672186432093465	1.4284861585706223e-06	1.7493472902114856e-06
24.077031999999996	24.07301741466602	1.2546528415891213e-06	1.5364681942639633e-06
24.477604999999997	24.473590397225173	1.1217714563914226e-06	1.3737394973700826e-06
24.863988999999997	24.859974380378176	1.0187987667277634e-06	1.2476374735260727e-06
25.267702999999997	25.263688362749797	1.2354093409533615e-06	1.5129022916548445e-06
25.661045999999992	25.657031345548287	2.1736718374412337e-06	2.6619137440167587e-06
26.093220999999993	26.089206326618278	1.7924468599816822e-06	2.195059461055339e-06
26.680792999999994	26.676778300829206	1.6421781054304819e-06	2.0110379099885553e-06
27.08572999999999	27.081715283019978	1.6203962765080724e-06	1.9843635294405526e-06
27.625601999999994	27.621587259229024	1.2535105506836188e-06	1.5350693263168115e-06
27.958043999999994	27.954029244551506	1.1649755065141015e-06	1.4266478770241743e-06
28.465062999999994	28.461048222124866	1.3160793405044306e-06	1.611692079899788e-06
28.984674999999996	28.980660199087964	1.2763702556657475e-06	1.5630636913483463e-06
29.544822999999994	29.540808174191824	1.7354174463479202e-06	2.125220317284847e-06
