# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
11.083686999999998	11.079672970762886	2.685619410283399e-07	3.2439884979969596e-07
12.67221699999999	12.668202903422277	3.8565295952325376e-07	4.6612020866482103e-07
14.298884999999999	14.294870834362328	6.065181783563763e-07	7.334648522794251e-07
15.954131999999994	15.950117763939517	9.946223729601046e-06	1.2033761245543725e-05
16.732240999999995	16.728226730770025	1.4558711969898544e-06	1.761793629417392e-06
17.228590999999994	17.224576709586795	2.095870923512586e-07	2.536593015686562e-07
17.361999999999995	17.357985703889693	5.939626118132866e-07	7.188853165250794e-07
17.69947299999999	17.695458689471405	4.304981194790153e-07	5.210833815929289e-07
18.216430999999993	18.21241666736509	3.929607899332722e-07	4.757052737967332e-07
18.289008999999993	18.284994664259518	2.975641798729994e-07	3.602273357757023e-07
18.558546999999997	18.554532652721743	3.8454310832774656e-07	4.65551510305508e-07
19.272980999999994	19.26896662210521	1.6086967138213577e-06	1.947894600126131e-06
19.409211999999997	19.40519761626121	4.309169621220332e-07	5.217922210985994e-07
19.743546999999992	19.739532601910618	1.0152052879356045e-06	1.2293871868383963e-06
19.906587999999992	19.90257359490805	3.9957726093572306e-07	4.83894150653555e-07
20.24729899999999	20.243284580265048	6.726509985051723e-07	8.146477390360729e-07
20.717435999999992	20.713421560037787	4.6307041318904854e-07	5.608776580517555e-07
20.976286999999992	20.97227254888978	2.2479951777892024e-07	2.7229433700959823e-07
21.28797099999999	21.283956535455587	2.0860724257266443e-07	2.526962706952881e-07
21.546324999999996	21.54231052431086	2.048195990208372e-07	2.481203291439476e-07
21.916796999999995	21.912782508314773	3.704306951495721e-07	4.487742662809248e-07
22.239869999999996	22.235855494350595	2.6165330651915914e-07	3.170100287496073e-07
22.63741199999999	22.633397477148357	1.78385019986908e-07	2.1614056998327415e-07
23.151956999999996	23.147942454850646	2.2356996674980494e-07	2.70913547441945e-07
23.676200999999992	23.672186432093465	2.793497313464144e-07	3.385357646865562e-07
24.077031999999996	24.07301741466602	2.47609635534208e-07	3.0009102112879685e-07
24.477604999999997	24.473590397225173	2.2338373472472967e-07	2.707482018847544e-07
24.863988999999997	24.859974380378176	2.0461620185793836e-07	2.4801679579852087e-07
25.267702999999997	25.263688362749797	2.5030622254652856e-07	3.034173738685385e-07
25.661045999999992	25.657031345548287	4.4412737028526247e-07	5.383972707861937e-07
26.093220999999993	26.089206326618278	3.695802827792047e-07	4.480563995356338e-07
26.680792999999994	26.676778300829206	3.4272614596379177e-07	4.1553642324475363e-07
27.08572999999999	27.081715283019978	3.4096420763625856e-07	4.1342453489156993e-07
27.625601999999994	27.621587259229024	2.666108951993591e-07	3.2329484135939197e-07
27.958043999999994	27.954029244551506	2.493807744737841e-07	3.024155037708799e-07
28.465062999999994	28.461048222124866	2.8395584823569987e-07	3.4436750833521865e-07
28.984674999999996	28.980660199087964	2.725426186305612e-07	3.305492220594077e-07
29.544822999999994	29.540808174191824	3.354005692413766e-07	4.068155361654567e-07
