# dE [MeV]	most constraining m_chi [MeV]	min g_chi lower uncertainty [MeV^-1]	min g_chi upper uncertainty [MeV^-1]
11.083686999999998	11.079672970762886	4.651057888297317e-07	5.618059243209452e-07
12.67221699999999	12.668202903422277	6.678885246200636e-07	8.072442934121908e-07
14.298884999999999	14.294870834362328	1.0503914214393795e-06	1.2702417880071874e-06
15.954131999999994	15.950117763939517	1.7225252463710367e-05	2.0840518146925265e-05
16.732240999999995	16.728226730770025	2.521333753206242e-06	3.0511402504235084e-06
17.228590999999994	17.224576709586795	3.6297099637265843e-07	4.392966958980703e-07
17.361999999999995	17.357985703889693	1.0286473252781921e-06	1.2449925706346696e-06
17.69947299999999	17.695458689471405	7.455532303697348e-07	9.024317680008598e-07
18.216430999999993	18.21241666736509	6.805446477738068e-07	8.238442727858269e-07
18.289008999999993	18.284994664259518	5.153331213217713e-07	6.238552410823492e-07
18.558546999999997	18.554532652721743	6.659665891410776e-07	8.062596135517128e-07
19.272980999999994	19.26896662210521	2.7860030847381636e-06	3.3734372075949036e-06
19.409211999999997	19.40519761626121	7.462786366852576e-07	9.036594184136236e-07
19.743546999999992	19.739532601910618	1.7581717407228816e-06	2.1290990510229247e-06
19.906587999999992	19.90257359490805	6.920033415438947e-07	8.380261268000746e-07
20.24729899999999	20.243284580265048	1.1649230036825107e-06	1.4108376720996123e-06
20.717435999999992	20.713421560037787	8.019632538237718e-07	9.71349091599392e-07
20.976286999999992	20.97227254888978	3.893165031207549e-07	4.715696110252814e-07
21.28797099999999	21.283956535455587	3.6127409729617597e-07	4.3762894421273223e-07
21.546324999999996	21.54231052431086	3.547145119149431e-07	4.297041591889092e-07
21.916796999999995	21.912782508314773	6.415262263648282e-07	7.772042361309829e-07
22.239869999999996	22.235855494350595	4.5314133487270214e-07	5.490099546104437e-07
22.63741199999999	22.633397477148357	3.0893409270140784e-07	3.743204160865349e-07
23.151956999999996	23.147942454850646	3.87187139782037e-07	4.691783373508594e-07
23.676200999999992	23.672186432093465	4.837887053866658e-07	5.862890614830795e-07
24.077031999999996	24.07301741466602	4.2881997957657546e-07	5.197090037815261e-07
24.477604999999997	24.473590397225173	3.8686462745116523e-07	4.688920022167147e-07
24.863988999999997	24.859974380378176	3.543622880969149e-07	4.295248954680704e-07
25.267702999999997	25.263688362749797	4.3349004476520046e-07	5.254697235029073e-07
25.661045999999992	25.657031345548287	7.691570478684284e-07	9.32416836068985e-07
26.093220999999993	26.089206326618278	6.400535089075283e-07	7.759610931540644e-07
26.680792999999994	26.676778300829206	5.935464771886525e-07	7.196417728329857e-07
27.08572999999999	27.081715283019978	5.904950884774091e-07	7.159843309893854e-07
27.625601999999994	27.621587259229024	4.6172713218596605e-07	5.598943071548779e-07
27.958043999999994	27.954029244551506	4.318873407262992e-07	5.23734679748054e-07
28.465062999999994	28.461048222124866	4.917658050426846e-07	5.963887645786422e-07
28.984674999999996	28.980660199087964	4.7199993360040704e-07	5.724577365354926e-07
29.544822999999994	29.540808174191824	5.808597890793478e-07	7.045386532360381e-07
