Radius from GC [kpc]	Optimal DM mass [MeV]
0.03708848197596332	41.52256143799849
0.39681873350841596	41.5187701597807
0.7565489850408686	41.51955083682017
1.1162792365733214	41.51987719110223
1.476009488105774	41.520037448344056
1.9882302582263947	41.52024703898164
2.5004510283470154	41.520427665689006
3.012671798467636	41.52045102759715
3.524892568588257	41.5202582731148
4.02374655008316	41.519997246013816
4.522600531578064	41.51987937241724
5.0214545130729675	41.51981220060503
5.520308494567871	41.51976319558432
6.016494989395142	41.5196644281466
6.512681484222412	41.51961440741217
7.008867979049683	41.51960016158691
7.505054473876953	41.51962381823416
8.003790855407715	41.51971413871557
8.502527236938477	41.51987577538264
9.001263618469238	41.51998255540135
9.5	41.52007953494649
10.0	41.52013522998274
10.5	41.520112530191625
11.0	41.52000033179274
11.5	41.51987659739592
12.0	41.51967709545942
12.5	41.5195351948961
13.0	41.51942781462515
13.5	41.5193924829914
14.0	41.519391978121234
14.5	41.51939202203372
15.0	41.51939206547881
15.5	41.51939210848074
24.125	41.51939279701705
32.75	41.51939341629769
41.375	41.51939386545919
50.0	41.51939386545919
